,theme_id,theme_name,parent_id,set_name,year,num_parts
9242,533,Town,507.0,Rescue Service Set,2010,1494
9243,533,Town,507.0,City Buildings Set,2010,848
9244,141,Space Police III,126.0,Smash 'n' Grab,2010,188
9245,275,Toy Story,,Lotso's Dump Truck,2010,129
9246,275,Toy Story,,Pizza Planet Truck Rescue,2010,225
9247,275,Toy Story,,Western Train Chase,2010,585
9248,275,Toy Story,,Trash Compactor Escape,2010,373
9249,275,Toy Story,,Army Men on Patrol,2010,90
9250,275,Toy Story,,Woody's Roundup!,2010,502
9251,275,Toy Story,,Buzz's Star Command Spaceship,2010,257
9252,507,Educational and Dacta,,Window Exploration Bag,2010,5200
9253,275,Toy Story,,Garbage Truck Getaway,2010,402
9254,246,Harry Potter,,Hogwarts Castle,2010,1291
9255,229,Easter,206.0,Easter Chicks,2010,15
9256,673,Creator Expert,22.0,Tower Bridge,2010,4295
9257,120,Tiny Turbos,112.0,Blue Bullet,2010,50
9258,120,Tiny Turbos,112.0,Nitro Muscle,2010,47
9259,120,Tiny Turbos,112.0,Turbo Tow,2010,43
9260,66,Trains,52.0,City Super Pack 4 in 1 (7939 7937 7499 7895),2010,0
9261,66,Trains,52.0,City Super Pack 4 in 1 (7895 7896 7937 7939),2010,0
9262,120,Tiny Turbos,112.0,Chopper Jump,2010,143
9263,120,Tiny Turbos,112.0,Highway Chaos,2010,144
9264,120,Tiny Turbos,112.0,Ramp Crash,2010,147
9265,301,Other,,MUJI Colour Paper Pad and Perforation Grid,2010,0
9266,301,Other,,MUJI Animals Set,2010,0
9267,120,Tiny Turbos,112.0,Security Smash,2010,137
9268,120,Tiny Turbos,112.0,Brick Street Getaway,2010,552
9269,408,LEGO Brand Store,,"LEGO Store Grand Opening Exclusive Set, Nuremberg (Nürnberg), Germany",2010,126
9270,672,Creator 3-in-1,22.0,Apple Tree House,2010,539
9271,301,Other,,MUJI Circus Set,2010,91
9272,120,Tiny Turbos,112.0,Lime Racer,2010,44
9273,158,Star Wars,,CubeDude - The Clone Wars Edition,2010,416
9274,66,Trains,52.0,Level Crossing,2010,142
9275,66,Trains,52.0,Train Station,2010,365
9276,507,Educational and Dacta,,Animals,2010,1088
9277,120,Tiny Turbos,112.0,Off Road Racer 2,2010,30
9278,120,Tiny Turbos,112.0,Racing Tow Truck,2010,34
9279,120,Tiny Turbos,112.0,Racing Truck,2010,40
9280,301,Other,,Le Fleuriste Collector Vase - Monceau Fleurs Blue Chic,2010,350
9281,301,Other,,Le Fleuriste Collector Vase - Happy,2010,297
9282,301,Other,,Le Fleuriste Collector Vase - Rapid Flore Pop Color,2010,352
9283,408,LEGO Brand Store,,"LEGO Store Grand Opening Exclusive Set, Christiana Mall, Newark, DE",2010,133
9284,632,Town,504.0,Vet - Cat,2010,4
9285,632,Town,504.0,Vet - Vet,2010,4
9286,632,Town,504.0,Vet - Boy,2010,4
9287,672,Creator 3-in-1,22.0,Ferocious Creatures,2010,416
9288,672,Creator 3-in-1,22.0,Super Speedster,2010,278
9289,672,Creator 3-in-1,22.0,Rotor Rescue,2010,149
9290,66,Trains,52.0,Cargo Train,2010,839
9291,66,Trains,52.0,Passenger Train,2010,669
9292,120,Tiny Turbos,112.0,Racing Car,2010,29
9293,560,Universe,,LEGO Universe Rocket,2010,56
9294,8,Farm,5.0,Tractor with Log Loader,2010,525
9295,408,LEGO Brand Store,,"LEGO Store Grand Re-opening Exclusive Set, Mall of America, Bloomington, MN",2010,125
9296,123,World Racers,112.0,Snake Canyon,2010,57
9297,123,World Racers,112.0,Jagged Jaws Reef,2010,191
9298,123,World Racers,112.0,Wreckage Road,2010,288
9299,63,Traffic,52.0,Public Transport,2010,864
9300,123,World Racers,112.0,Gator Swamp,2010,354
9301,63,Traffic,52.0,Toys 'R' Us Truck,2010,356
9302,230,Halloween,206.0,Halloween Bat,2010,25
9303,230,Halloween,206.0,Halloween Ghost,2010,18
9304,230,Halloween,206.0,Halloween Pumpkin,2010,18
9305,158,Star Wars,,Fan Celebration V - CubeDude - The Bounty Hunter Edition,2010,497
9306,560,Universe,,Astronaut,2010,5
9307,501,Gear,,Atlantis: The Movie (DVD),2010,0
9308,63,Traffic,52.0,Traveler,2010,21
9309,516,Duplo and Explore,507.0,Playhouse Set,2010,125
9310,673,Creator Expert,22.0,Shuttle Adventure,2010,1204
9311,123,World Racers,112.0,Desert of Destruction,2010,966
9312,123,World Racers,112.0,Blizzard's Peak,2010,504
9313,673,Creator Expert,22.0,Maersk Line Container Ship 2010 Edition,2010,990
