,root_theme_name,year,num_set_per_year
866,Technic,1994,9
867,Duplo,1994,32
868,Space,1994,10
869,Universal Building Set,1994,15
870,Town,1994,29
871,Train,1994,3
872,Pirates,1994,13
873,Model Team,1994,1
874,Belville,1994,4
875,Value Packs,1994,2
876,Service Packs,1994,14
877,Duplo,1993,23
878,Train,1993,3
879,Universal Building Set,1993,8
880,Service Packs,1993,25
881,Technic,1993,10
882,Value Packs,1993,1
883,Educational and Dacta,1993,10
884,Space,1993,12
885,Castle,1993,13
886,Pirates,1993,6
887,Town,1993,23
888,Model Team,1993,2
889,Educational and Dacta,1992,37
890,Value Packs,1992,1
891,Seasonal,1992,2
892,Service Packs,1992,13
893,Pirates,1992,10
894,Town,1992,27
895,Duplo,1992,12
896,Castle,1992,9
897,Universal Building Set,1992,12
898,Space,1992,6
899,LEGO Brand Store,1992,1
900,Technic,1992,3
901,Train,1992,5
902,Train,1991,12
903,Castle,1991,1
904,Books,1991,1
905,Town,1991,23
906,Seasonal,1991,3
907,Educational and Dacta,1991,11
908,Universal Building Set,1991,9
909,Value Packs,1991,1
910,Boat,1991,3
911,Duplo,1991,36
912,Technic,1991,10
913,Space,1991,13
914,Pirates,1991,5
915,Model Team,1991,1
916,Service Packs,1991,18
917,Duplo,1990,22
918,Model Team,1990,1
919,Seasonal,1990,1
920,Castle,1990,8
921,Educational and Dacta,1990,9
922,Town,1990,27
923,Books,1990,1
924,Value Packs,1990,1
925,Service Packs,1990,8
926,Technic,1990,4
927,Space,1990,10
928,Universal Building Set,1990,21
929,Universal Building Set,1989,16
930,Town,1989,23
931,Castle,1989,3
932,Space,1989,10
933,Pirates,1989,12
934,Seasonal,1989,4
935,Duplo,1989,17
936,Fabuland,1989,3
937,Value Packs,1989,1
938,Service Packs,1989,31
939,Technic,1989,7
940,Educational and Dacta,1989,7
941,Duplo,1988,10
942,Castle,1988,5
943,Town,1988,20
944,Technic,1988,5
945,Books,1988,1
946,Space,1988,13
947,Universal Building Set,1988,6
948,Educational and Dacta,1988,8
949,Value Packs,1988,1
950,Fabuland,1988,7
951,Service Packs,1988,5
952,Books,1987,1
953,Castle,1987,7
954,Technic,1987,1
955,Universal Building Set,1987,31
956,Duplo,1987,22
957,Boat,1987,3
958,Service Packs,1987,102
959,Space,1987,16
960,Town,1987,21
961,Educational and Dacta,1987,22
962,Fabuland,1987,10
963,Space,1986,17
964,Train,1986,3
965,Universal Building Set,1986,27
966,Seasonal,1986,2
967,Model Team,1986,3
968,Educational and Dacta,1986,28
969,Technic,1986,9
970,Fabuland,1986,7
971,Town,1986,26
972,Service Packs,1986,18
973,Castle,1986,5
974,Duplo,1986,15
975,Technic,1985,3
976,Town,1985,26
977,Books,1985,1
978,Train,1985,6
979,Castle,1985,3
980,Seasonal,1985,1
981,Space,1985,15
982,Duplo,1985,16
983,Educational and Dacta,1985,35
984,Service Packs,1985,16
985,Universal Building Set,1985,31
986,Fabuland,1985,17
987,Gear,1984,1
988,Service Packs,1984,18
989,Town,1984,17
990,Fabuland,1984,10
991,Castle,1984,9
992,Duplo,1984,19
993,Space,1984,9
994,Educational and Dacta,1984,1
995,Books,1984,1
996,Universal Building Set,1984,6
997,Technic,1984,4
998,Train,1983,9
999,Educational and Dacta,1983,2
1000,Town,1983,15
1001,Universal Building Set,1983,9
1002,Space,1983,9
1003,Duplo,1983,16
1004,Service Packs,1983,1
1005,Castle,1983,1
1006,Fabuland,1983,8
1007,Technic,1983,3
1008,Boat,1982,3
1009,Town,1982,10
1010,Fabuland,1982,17
1011,Educational and Dacta,1982,1
1012,Space,1982,3
1013,Homemaker,1982,1
1014,Technic,1982,5
1015,Universal Building Set,1982,7
1016,Duplo,1982,6
1017,Service Packs,1982,31
1018,Fabuland,1981,6
1019,Gear,1981,1
1020,Books,1981,2
1021,Town,1981,15
1022,Duplo,1981,5
1023,Space,1981,6
1024,Castle,1981,3
1025,Technic,1981,4
1026,Train,1981,2
1027,Universal Building Set,1981,11
1028,Educational and Dacta,1981,4
1029,Service Packs,1981,25
1030,Train,1980,28
1031,Service Packs,1980,2
1032,Educational and Dacta,1980,3
1033,Universal Building Set,1980,20
1034,Town,1980,17
1035,Books,1980,2
1036,Duplo,1980,11
1037,Scala,1980,3
1038,Technic,1980,5
1039,Fabuland,1980,5
1040,Homemaker,1980,1
1041,Space,1980,5
1042,Service Packs,1979,1
1043,Duplo,1979,6
1044,Fabuland,1979,15
1045,Castle,1979,3
1046,Space,1979,27
1047,Universal Building Set,1979,2
1048,Scala,1979,6
1049,Town,1979,19
